ID,Time_ms,Depth_cm,FlowUP_Hz,FlowDN_Hz,N,Flow_Hz
Point measurement,1,1350,0,0,280241,0
Point measurement,1,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,2,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,3,1350,0,0,280241,0
Point measurement,4,1350,0,0,280241,0
Point measurement,4,1350,0,0,280241,0
Point measurement,4,1350,0,0,280241,0
Point measurement,4,1350,0,0,280241,0
Point measurement,4,1350,0,0,280241,0
Point measurement,4,1350,0,0,280241,0
